molecule_id,smiles,type,units,value,molecular_weight,pIC50
CHEMBL230449,N[C@H]1CN(c2ncccc2C(F)(F)F)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,650.0,489.338,6.187086643357144
CHEMBL230495,C[C@@H]1CNC(=O)[C@@H](CC(F)(F)F)N(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C1,IC50,nM,143.0,425.3730000000001,6.844663962534939
CHEMBL230496,C[C@@H]1CCN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)[C@H](C)C(=O)N1,IC50,nM,15.1,357.376,7.82102305270683
CHEMBL230497,C[C@@H]1CCN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)[C@H](CC(F)(F)F)C(=O)N1,IC50,nM,34.3,425.373,7.464705879957229
CHEMBL23051,N[C@H](C(=O)N1C[C@@H](F)[C@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,IC50,nM,270.0,485.4750000000002,6.568636235841013
CHEMBL230601,CC[C@@H]1CCN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)[C@H](C)C(=O)N1,IC50,nM,29.6,371.4030000000001,7.528708288941061
CHEMBL230602,C[C@@H]1CCN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)[C@H](Cc2ccccn2)C(=O)N1,IC50,nM,11.0,434.46200000000005,7.958607314841775
CHEMBL230603,C[C@@H]1C(=O)N[C@H](C(F)(F)F)CCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,IC50,nM,139.0,411.34600000000006,6.856985199745905
CHEMBL230839,Cc1ccc(F)cc1C[C@@H](N)CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(O[C@H](C(=O)O)C(C)C)cc1,IC50,nM,33.0,513.6100000000002,7.481486060122112
CHEMBL230840,N[C@@H](CC(=O)N1CSC[C@H]1C(=O)NCc1ccc(CC(=O)O)cc1)Cc1ccccc1F,IC50,nM,37.0,459.54300000000023,7.431798275933005
CHEMBL230883,N#Cc1ccc(N2CC[C@H](c3cc(F)c(F)cc3F)[C@@H](N)C2)nc1.O=C(O)C(F)(F)F,IC50,nM,14.0,446.3510000000001,7.853871964321762
CHEMBL230937,COC(=O)Cc1ccc(CNC(=O)[C@@H]2CSCN2C(=O)C[C@H](N)Cc2ccccc2F)cc1,IC50,nM,170.0,473.5700000000002,6.769551078621726
CHEMBL230938,O=C([C@@H]1Cc2ccc(-c3cccc(-c4nnn[nH]4)c3)cc2CN1)N1CC[C@H](F)C1,IC50,nM,310.0,392.4380000000002,6.508638306165727
CHEMBL230984,N[C@H]1CN(c2ccncn2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,37.0,422.329,7.431798275933005
CHEMBL230985,N[C@H]1CN(c2cnccn2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,82.0,422.329,7.086186147616283
CHEMBL231009,CCN1CCCN(C(=O)C[C@H](N)Cc2cc(F)ccc2F)[C@H](C)C1=O,IC50,nM,20.7,353.41300000000007,7.684029654543083
CHEMBL231010,C[C@@H]1C(=O)N(CC(=O)O)CCCN1C(=O)C[C@H](N)Cc1cc(F)ccc1F,IC50,nM,69.9,383.3950000000001,7.1555228242543185
CHEMBL231011,C[C@@H]1C(=O)N(C)CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,IC50,nM,11.5,357.376,7.939302159646388
CHEMBL231050,N[C@@H](CC(=O)N1CCn2cc(C(F)(F)F)nc2C1c1ccc(F)cc1)Cc1ccc(F)c(F)c1,IC50,nM,1397.0,482.42800000000017,5.854803593885818
CHEMBL231090,N[C@H]1CN(c2cccnn2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,63.0,422.329,7.200659450546418
